id,publication,state,code,col,row
1,New York Times 2,Alaska,AK,3,1
2,New York Times 2,Washington,WA,3,3
3,New York Times 2,Oregon,OR,3,4
4,New York Times 2,California,CA,3,5
5,New York Times 2,Hawaii,HI,3,8
6,New York Times 2,Idaho,ID,4,3
7,New York Times 2,Nevada,NV,4,4
8,New York Times 2,Utah,UT,4,5
9,New York Times 2,Arizona,AZ,4,6
10,New York Times 2,Montana,MT,5,3
11,New York Times 2,Wyoming,WY,5,4
12,New York Times 2,Colorado,CO,5,5
13,New York Times 2,New Mexico,NM,5,6
14,New York Times 2,North Dakota,ND,6,3
15,New York Times 2,South Dakota,SD,6,4
16,New York Times 2,Nebraska,NE,6,5
17,New York Times 2,Kansas,KS,6,6
18,New York Times 2,Oklahoma,OK,6,7
19,New York Times 2,Texas,TX,6,8
20,New York Times 2,Minnesota,MN,7,3
21,New York Times 2,Iowa,IA,7,4
22,New York Times 2,Missouri,MO,7,5
23,New York Times 2,Arkansas,AR,7,6
24,New York Times 2,Louisiana,LA,7,7
25,New York Times 2,Wisconsin,WI,8,2
26,New York Times 2,Illinois,IL,8,3
27,New York Times 2,Indiana,IN,8,4
28,New York Times 2,Kentucky,KY,8,5
29,New York Times 2,Tennessee,TN,8,6
30,New York Times 2,Mississippi,MS,8,7
31,New York Times 2,Michigan,MI,9,3
32,New York Times 2,Ohio,OH,9,4
33,New York Times 2,West Virginia,WV,9,5
34,New York Times 2,North Carolina,NC,9,6
35,New York Times 2,Alabama,AL,9,7
36,New York Times 2,Pennsylvania,PA,10,4
37,New York Times 2,Virginia,VA,10,5
38,New York Times 2,South Carolina,SC,10,6
39,New York Times 2,Georgia,GA,10,7
40,New York Times 2,New York,NY,11,3
41,New York Times 2,New Jersey,NJ,11,4
42,New York Times 2,Maryland,MD,11,5
43,New York Times 2,Florida,FL,11,8
44,New York Times 2,Vermont,VT,12,2
45,New York Times 2,Massachusetts,MA,12,3
46,New York Times 2,Connecticut,CT,12,4
47,New York Times 2,Delaware,DE,12,5
48,New York Times 2,Maine,ME,13,1
49,New York Times 2,New Hampshire,NH,13,2
50,New York Times 2,Rhode Island,RI,13,4
51,New York Times 1,Alaska,AK,2,2
52,New York Times 1,California,CA,2,5
53,New York Times 1,Hawaii,HI,2,7
54,New York Times 1,Washington,WA,3,3
55,New York Times 1,Oregon,OR,3,4
56,New York Times 1,Nevada,NV,3,5
57,New York Times 1,Montana,MT,4,3
58,New York Times 1,Idaho,ID,4,4
59,New York Times 1,Utah,UT,4,5
60,New York Times 1,Arizona,AZ,4,6
61,New York Times 1,North Dakota,ND,5,3
62,New York Times 1,Wyoming,WY,5,4
63,New York Times 1,Colorado,CO,5,5
64,New York Times 1,New Mexico,NM,5,6
65,New York Times 1,Texas,TX,5,7
66,New York Times 1,South Dakota,SD,6,3
67,New York Times 1,Nebraska,NE,6,4
68,New York Times 1,Kansas,KS,6,5
69,New York Times 1,Oklahoma,OK,6,6
70,New York Times 1,Louisiana,LA,6,7
71,New York Times 1,Minnesota,MN,7,3
72,New York Times 1,Iowa,IA,7,4
73,New York Times 1,Missouri,MO,7,5
74,New York Times 1,Arkansas,AR,7,6
75,New York Times 1,Mississippi,MS,7,7
76,New York Times 1,Wisconsin,WI,8,3
77,New York Times 1,Illinois,IL,8,4
78,New York Times 1,Kentucky,KY,8,5
79,New York Times 1,Tennessee,TN,8,6
80,New York Times 1,Alabama,AL,8,7
81,New York Times 1,Michigan,MI,9,3
82,New York Times 1,Indiana,IN,9,4
83,New York Times 1,West Virginia,WV,9,5
84,New York Times 1,Virginia,VA,9,6
85,New York Times 1,Georgia,GA,9,7
86,New York Times 1,Florida,FL,9,8
87,New York Times 1,Ohio,OH,10,4
88,New York Times 1,DC,DC,10,5
89,New York Times 1,North Carolina,NC,10,6
90,New York Times 1,South Carolina,SC,10,7
91,New York Times 1,Vermont,VT,11,2
