Congress.Number,STATE,Census,Start,End,CD.Num,Population,White.perc,Black.perc,AAPI.perc,AInd_AKNt.perc,Hisp.perc,NH_White.perc,NH_Black.perc,NH_AAPI.perc
115,AK,2010,2017,2019,1,710231,66.68,3.28,6.41,14.77,5.53,64.11,3.09,6.29
115,AL,2010,2017,2019,1,682820,67.18,27.66,1.38,1.16,2.80,65.84,27.52,1.36
115,AL,2010,2017,2019,2,682820,65.45,29.49,1.18,0.50,3.60,64.04,29.32,1.13
115,AL,2010,2017,2019,3,682819,70.65,25.16,1.21,0.35,2.63,69.55,25.00,1.18
115,AL,2010,2017,2019,4,682819,86.61,6.83,0.54,0.84,5.70,84.89,6.76,0.47
115,AL,2010,2017,2019,5,682819,75.93,16.99,1.66,0.76,4.77,74.12,16.83,1.62
115,AL,2010,2017,2019,6,682819,80.82,13.56,1.63,0.31,4.88,78.67,13.48,1.60
115,AL,2010,2017,2019,7,682820,33.04,63.57,0.70,0.22,2.80,32.18,63.35,0.67
115,AR,2010,2017,2019,1,728765,78.14,18.16,0.54,0.43,2.79,77.00,18.07,0.52
115,AR,2010,2017,2019,2,729192,72.32,21.41,1.46,0.49,4.81,70.34,21.30,1.43
115,AR,2010,2017,2019,3,728959,82.87,2.66,3.09,1.44,12.74,78.12,2.57,3.04
115,AR,2010,2017,2019,4,729002,74.68,19.48,0.66,0.70,5.19,72.69,19.38,0.65
115,AZ,2010,2017,2019,1,710224,61.46,2.25,1.66,23.87,20.82,50.90,2.07,1.58
115,AZ,2010,2017,2019,2,710224,79.62,3.99,3.04,1.41,25.84,64.38,3.64,2.91
115,AZ,2010,2017,2019,3,710224,61.66,4.34,2.01,4.34,60.60,29.09,3.85,1.82
115,AZ,2010,2017,2019,4,710224,85.21,1.70,1.25,2.14,17.91,75.84,1.56,1.18
115,AZ,2010,2017,2019,5,710224,82.14,3.07,4.50,1.09,16.74,73.03,2.87,4.39
115,AZ,2010,2017,2019,6,710224,83.28,2.55,3.71,1.86,15.20,75.32,2.38,3.63
115,AZ,2010,2017,2019,7,710224,50.26,9.33,2.66,3.06,64.35,20.97,8.64,2.46
115,AZ,2010,2017,2019,8,710225,81.19,4.05,3.37,0.94,18.48,71.71,3.81,3.25
115,AZ,2010,2017,2019,9,710224,72.31,5.18,4.46,3.03,26.90,59.11,4.84,4.33
115,CA,2010,2017,2019,1,702905,84.85,1.37,2.58,2.35,11.99,79.08,1.29,2.50
115,CA,2010,2017,2019,2,702905,80.19,1.70,3.64,2.65,16.64,72.80,1.58,3.55
115,CA,2010,2017,2019,3,702906,62.65,6.18,10.63,1.34,27.78,50.86,5.88,10.35
115,CA,2010,2017,2019,4,702906,85.13,1.26,4.25,1.37,12.36,78.21,1.18,4.12
115,CA,2010,2017,2019,5,702905,63.56,6.71,11.24,1.11,25.69,52.75,6.43,10.98
115,CA,2010,2017,2019,6,702905,49.40,13.24,16.56,1.19,26.95,38.87,12.57,16.18
115,CA,2010,2017,2019,7,702904,64.64,7.68,14.64,0.83,16.12,57.16,7.34,14.31
115,CA,2010,2017,2019,8,702905,66.05,7.94,3.39,1.64,35.34,50.19,7.50,3.17
115,CA,2010,2017,2019,9,702904,51.42,8.74,14.32,1.02,37.16,36.89,8.25,13.71
115,CA,2010,2017,2019,10,702905,64.33,3.56,6.99,1.10,40.08,46.38,3.25,6.60
115,CA,2010,2017,2019,11,702906,59.67,9.22,13.08,0.55,25.56,48.62,8.87,12.83
115,CA,2010,2017,2019,12,702905,50.44,6.13,31.92,0.51,14.68,43.99,5.87,31.63
115,CA,2010,2017,2019,13,702906,41.87,19.71,21.37,0.68,20.84,34.21,19.16,21.13
115,CA,2010,2017,2019,14,702905,47.49,3.48,32.08,0.46,24.27,36.94,3.23,31.67
115,CA,2010,2017,2019,15,702904,47.44,6.83,28.46,0.62,23.40,37.47,6.51,28.06
115,CA,2010,2017,2019,16,702904,50.47,6.37,8.92,1.90,58.01,25.10,5.80,8.60
115,CA,2010,2017,2019,17,702904,34.26,2.53,49.99,0.47,17.46,26.81,2.36,49.66
115,CA,2010,2017,2019,18,702906,66.17,2.03,19.27,0.50,17.10,57.93,1.88,19.07
115,CA,2010,2017,2019,19,702904,44.45,3.15,26.27,1.06,41.45,26.97,2.83,25.85
115,CA,2010,2017,2019,20,702906,60.04,2.29,5.65,1.24,50.65,39.20,1.98,5.31
115,CA,2010,2017,2019,21,702904,49.85,4.91,3.62,1.55,70.96,19.32,4.44,3.38
115,CA,2010,2017,2019,22,702905,63.17,3.19,7.56,1.28,44.75,42.38,2.80,7.29
115,CA,2010,2017,2019,23,702904,66.36,6.26,4.73,1.61,35.53,50.58,5.88,4.49
115,CA,2010,2017,2019,24,702904,74.77,2.02,4.35,1.16,34.10,57.12,1.77,4.11
115,CA,2010,2017,2019,25,702904,62.39,8.43,7.89,0.72,35.32,45.83,8.01,7.65
115,CA,2010,2017,2019,26,702905,67.45,1.92,6.61,1.04,43.23,46.12,1.64,6.42
115,CA,2010,2017,2019,27,702905,43.48,4.72,37.26,0.54,26.88,29.22,4.45,36.96
115,CA,2010,2017,2019,28,702904,68.13,2.52,13.72,0.47,25.70,55.28,2.32,13.50
115,CA,2010,2017,2019,29,702905,50.05,4.10,7.73,0.84,68.70,18.42,3.64,7.50
115,CA,2010,2017,2019,30,702904,66.62,4.49,12.13,0.46,27.01,53.36,4.20,11.94
115,CA,2010,2017,2019,31,702905,52.94,11.60,7.49,1.02,49.44,29.66,10.95,7.19
115,CA,2010,2017,2019,32,702905,50.85,2.91,15.45,0.96,62.62,18.11,2.55,15.10
115,CA,2010,2017,2019,33,702904,75.18,2.88,13.64,0.29,11.21,68.51,2.75,13.48
115,CA,2010,2017,2019,34,702904,38.21,4.85,19.70,1.11,65.43,9.24,4.40,19.44
115,CA,2010,2017,2019,35,702905,49.87,7.24,6.54,1.09,69.44,15.92,6.66,6.26
115,CA,2010,2017,2019,36,702905,66.76,3.97,3.18,1.36,46.64,44.36,3.60,2.96
115,CA,2010,2017,2019,37,702904,39.04,25.29,9.44,0.69,38.58,24.28,24.56,9.28
115,CA,2010,2017,2019,38,702905,52.45,3.96,14.81,1.03,61.22,18.92,3.61,14.46
115,CA,2010,2017,2019,39,702905,50.92,2.49,28.80,0.60,32.60,34.14,2.28,28.49
115,CA,2010,2017,2019,40,702904,46.18,5.55,2.48,1.02,86.49,5.36,5.07,2.30
115,CA,2010,2017,2019,41,702904,50.42,10.11,6.13,1.03,55.90,26.08,9.50,5.87
115,CA,2010,2017,2019,42,702906,64.63,5.45,9.07,0.85,36.19,46.63,5.09,8.78
115,CA,2010,2017,2019,43,702904,34.04,24.28,12.90,0.62,46.00,15.08,23.58,12.62
115,CA,2010,2017,2019,44,702904,36.61,17.34,6.43,0.82,68.41,7.17,16.76,6.16
